Relation,AUROC,AUPRC,AP@50
C0035258,0.9623745819397993,0.9582648647266512,1.0
C0019360,0.9606458234877127,0.9515063396761774,1.0
C0013473,0.9583150550711999,0.9501902796687273,1.0
C0020461,0.9466765170094763,0.9303651086378053,0.9258158851406116
C0162429,0.9541124820112247,0.9397699730185479,0.9499237991171252
C0032617,0.9622520229992341,0.9619635974154925,1.0
C0042769,0.9567653201498569,0.949636197728912,0.9485952583127761
C0020557,0.9707823800131492,0.9703637693556193,1.0
C0836924,0.9556102173704875,0.9420422931131366,0.9755867540121388
C0042963,0.9382174938006125,0.9132021272972426,0.8632215753740933
C0015672,0.9498088175026116,0.9370611726434116,1.0
C0011880,0.9527321461531671,0.938193230174206,0.9262556829580966
C0020651,0.9536144704795498,0.9482313026121963,0.9711857971421415
C0032227,0.9485210601869682,0.9362430917385777,0.9443730360905538
C0015468,0.974977730340505,0.9698286738900566,1.0
C0020255,0.9562379814696114,0.9536926091120297,0.9755867540121388
C0031256,0.9413948734368169,0.9328939803369274,1.0
C0011630,0.9576731552738796,0.9579974227438441,0.9791918367346938
C0032285,0.9502942990481796,0.9374681493374304,1.0
C0014130,0.9712543971474854,0.9674238661587803,1.0
C0018188,0.9592665046887727,0.9406752467449855,0.8723178516136207
C0025222,0.9313930893418073,0.9107643378301638,0.9254293654782286
C0042487,0.9455045611718884,0.9295733920378231,0.9277682512927057
C0085615,0.9569962734848094,0.9454999395386783,0.9774704110999933
C0004153,0.9568632285218679,0.9513069299443219,0.9619706863762846
C0011168,0.9566126967370302,0.9478920542895328,1.0
C0042510,0.9366184540760113,0.9226277393253567,0.9563804730979908
C0026858,0.9573777788444545,0.9442012483752854,0.9787751700680271
C0043096,0.9485533929957762,0.9381463992520003,1.0
C0035078,0.9472853503541334,0.9357675491187769,1.0
C0428977,0.9463476096123558,0.9273240790250812,0.937638636363297
C0013221,0.9411371476903405,0.9245143968318664,0.9388151069515324
C0036974,0.9488969901782536,0.9377857991615768,0.950069440937541
C0079035,0.9259323958424316,0.8854245200616851,0.8130231242815289
C0232492,0.9484211199955722,0.9324207250482124,0.9550471397646575
C0013404,0.943860148985019,0.930694707062904,0.9599180547973373
C0018926,0.9497469723183392,0.9370675211058969,0.9356825599000778
C0010054,0.9570134316884099,0.946557469450602,0.9774704110999933
C0020541,0.9510802469135802,0.941853593468379,0.9373551084229343
C0034063,0.9458558059762656,0.9285118134262839,0.9280804699255711
C0020295,0.9510378599136934,0.9437127787284317,0.9750867540121387
C0017658,0.951051803507954,0.9549731047203489,1.0
C0008031,0.9497180429856573,0.9349843693315878,1.0
C0235946,0.9438735316258469,0.9212376963513895,0.8586711483883732
C0020458,0.9499987820649094,0.940250422985003,1.0
C0344232,0.9521209421664357,0.9335232089186053,0.9134077174162413
C0020565,0.9720436690133659,0.9627734770502834,0.9375112255790515
C0015230,0.9370961796726027,0.9216640908598513,0.9685593140127385
