job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.type,train.optimizer,train.loss,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,complex.entity_embedder.regularize_weight,complex.relation_embedder.regularize_weight,complex.entity_embedder.dropout,complex.relation_embedder.dropout
8f1e8d52,decagon_selfloops_full,complex,0,search,negative_sampling,valid,25,,,,mean_reciprocal_rank_filtered_with_test,0.060590610765468,2,d29a9b6c,,,,,,,,,,,,,,
8f1e8d52,decagon_selfloops_full,complex,0,search,negative_sampling,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.1350057635464926,4,2b32bec6,,,,,,,,,,,,,,
8f1e8d52,decagon_selfloops_full,complex,0,search,negative_sampling,valid,20,,,,mean_reciprocal_rank_filtered_with_test,0.0005108958832837,6,9dcd4210,128,negative_sampling,Adadelta,soft_margin,0.29476100682183726,6,128,xavier_uniform_,lp,False,1.2867194920845803e-16,5.998414158461267e-18,0.03920279676094651,0.47902607126161456
8f1e8d52,decagon_selfloops_full,complex,0,search,1vsAll,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.000149194985814,7,7833a931,,,,,,,,,,,,,,
8f1e8d52,decagon_selfloops_full,complex,0,search,negative_sampling,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.0460676293755873,9,0cdd2438,512,negative_sampling,RMSprop,kl,0.0005949833389811746,10,256,uniform_,lp,True,1.9955959296259463e-09,5.143352539038308e-20,0.24138387758284807,0.29564411705359817
8f1e8d52,decagon_selfloops_full,complex,0,search,1vsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0004806727897061,11,03b6c2b0,,,,,,,,,,,,,,
8f1e8d52,decagon_selfloops_full,complex,0,search,negative_sampling,valid,10,,,,mean_reciprocal_rank_filtered_with_test,0.0346474521885021,12,9b152083,128,negative_sampling,SGD,kl,0.003257959653500717,7,16,normal_,lp,False,0.007000649983634024,1.7319250566538323e-11,0.30201915884390473,0.4102332149632275
8f1e8d52,decagon_selfloops_full,complex,0,search,1vsAll,valid,40,,,,mean_reciprocal_rank_filtered_with_test,0.0006465190066421,15,4e6b14e2,256,1vsAll,AdamW,kl,0.0014906031047292856,3,128,xavier_normal_,lp,True,0.005734186303919585,0.0003622192368211352,0.029065147507935762,0.2744434466585517
8f1e8d52,decagon_selfloops_full,complex,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0616632877178938,16,2da2c8e5,,,,,,,,,,,,,,
8f1e8d52,decagon_selfloops_full,complex,0,search,1vsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.1082571852286734,17,c75378b6,512,negative_sampling,RMSprop,se,0.00926521687566862,2,16,xavier_uniform_,lp,False,1.131622813186261e-10,4.871528945883982e-08,0.46842417772859335,0.39422145672142506
8f1e8d52,decagon_selfloops_full,complex,0,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0900709287762759,20,ddae1371,,,,,,,,,,,,,,
8f1e8d52,decagon_selfloops_full,complex,0,search,KvsAll,valid,30,,,,mean_reciprocal_rank_filtered_with_test,0.0006414393013342,21,83feca4f,128,1vsAll,SparseAdam,bce_mean,0.048794843341471474,5,16,xavier_normal_,,True,9.998082038228627e-18,8.866721766169914e-11,0.25062186317518353,0.33553435653448105
8f1e8d52,decagon_selfloops_full,complex,0,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0328520605056896,22,43671f5d,512,negative_sampling,Rprop,bce,0.006077550551029839,6,512,normal_,lp,False,1.6331883616010742e-08,1.1762855911768248e-12,0.09736880427226424,0.005026752129197121
8f1e8d52,decagon_selfloops_full,complex,0,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0530934528753607,23,84f61e3b,,,,,,,,,,,,,,
8f1e8d52,decagon_selfloops_full,complex,0,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0007843164442069,24,261a8c76,,,,,,,,,,,,,,
8f1e8d52,decagon_selfloops_full,complex,0,search,1vsAll,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.0006771399227926,25,147d6f6a,256,1vsAll,SGD,kl,0.0007131436390432571,4,32,xavier_normal_,lp,True,5.778512169448737e-06,0.03383726622224929,0.3488735668361187,0.2255287915468216
8f1e8d52,decagon_selfloops_full,complex,0,search,KvsAll,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.0506123486815384,26,e9aa4bf4,256,negative_sampling,Adadelta,bce,0.4258383547676161,7,256,xavier_uniform_,lp,False,3.1123379533026163e-15,2.623141793684774e-19,0.006014787591993809,0.42603658325970173
8f1e8d52,decagon_selfloops_full,complex,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0264680823089488,27,03978087,512,1vsAll,RMSprop,bce_mean,0.0027170568854849456,1,128,normal_,,False,9.459027620521704e-08,2.5785973222315126e-10,0.1634170371107757,0.10580630321055651
8f1e8d52,decagon_selfloops_full,complex,0,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0134734014229514,30,ca970f58,,,,,,,,,,,,,,
