Relation,AUROC,AUPRC,AP@50
C0035258,0.8412377937606962,0.815238229115487,0.9219015619455186
C0019360,0.8268733754725897,0.8041914219448413,0.8812474181554589
C0013473,0.8459319812235184,0.8323309290202096,0.9204853319781401
C0020461,0.7946795552482047,0.7599696937382192,0.7557694215136724
C0162429,0.8277119774833868,0.7922563597129724,0.7754476464570278
C0032617,0.8355977423416601,0.8087168527677477,0.8150611945930324
C0042769,0.8315399476375893,0.8145422146060992,0.9570789145013541
C0020557,0.851965811965812,0.8396890702454346,0.9375702609012447
C0836924,0.830057614350921,0.8115464024801088,0.8769167859612541
C0042963,0.7860825047877622,0.7463218459761862,0.7024151857308037
C0015672,0.8005763679947043,0.7682946331822234,0.7823340535330072
C0011880,0.8536462053302731,0.841707765008461,0.9264129452580464
C0020651,0.8132471095434058,0.7958544669670342,0.98
C0032227,0.8042319946780575,0.7676604102908642,0.730729462529181
C0015468,0.8566235183654471,0.8368464721984629,0.8904158932334112
C0020255,0.8114620360118874,0.776314601867141,0.7412109189161465
C0031256,0.7815884587676792,0.7456405779882314,0.7114131058203834
C0011630,0.8656631960162969,0.8526777272796261,0.7988227562972824
C0032285,0.7948976324546781,0.7659683845993543,0.8460997577005636
C0014130,0.838319163415733,0.8118230335692936,0.7716381399081023
C0018188,0.8276675879449461,0.7857590398442835,0.7118893743549571
C0025222,0.8006340857622909,0.7670656536543539,0.7606582727095167
C0042487,0.8109998896086011,0.7838421353033167,0.8114395563246072
C0085615,0.8252840173904042,0.795378181035194,0.7945264259007323
C0004153,0.8423073197791651,0.8327637390583559,0.9391836734693878
C0011168,0.8262904563193207,0.8035563641309499,0.9717918577482021
C0042510,0.8006117801111624,0.770109120855947,0.7268726523525095
C0026858,0.8354435351025138,0.8035385659546128,0.8486587589906093
C0043096,0.8040066945350717,0.7716373986542479,0.6824146038767229
C0035078,0.788177542621987,0.7562217943018141,0.6436769998927463
C0428977,0.7839658588629783,0.7654251334765205,0.9189562202629817
C0013221,0.8004097514518621,0.7669977316651126,0.7727896849825755
C0036974,0.761197943220055,0.7241273584014115,0.6899479773269148
C0079035,0.7643462311118875,0.7279235182991635,0.5963567608317353
C0232492,0.804760941118681,0.770747721456793,0.7141983089646367
C0013404,0.7922488237403877,0.7518630753239943,0.589059503120689
C0018926,0.8006293252595157,0.7726316780587665,0.8805589139529534
C0010054,0.8250369133767923,0.7947161125635668,0.7605874952014982
C0020541,0.8055246913580246,0.7757699106891786,0.7415789166019651
C0034063,0.7803645467977599,0.7434288058424956,0.6922435456970362
C0020295,0.8394340507926857,0.8234519265192974,0.8829788617295271
C0017658,0.7828797855602821,0.7632492231036092,0.7254434873302658
C0008031,0.8010984283012598,0.7661330422677284,0.9114187733768333
C0235946,0.823506241137235,0.7958081104679995,0.7587406126554448
C0020458,0.7991215366354876,0.7642918866534929,0.8168333795505036
