Relation,AUROC,AUPRC,AP@50
C0035258,0.9091592935202067,0.8939029554213669,0.9382785743652995
C0019360,0.9146956964792061,0.903213401868891,0.98
C0013473,0.9103651537081449,0.9041556604686941,1.0
C0020461,0.8746745419023757,0.8517219407225419,0.925654072825016
C0162429,0.9112023519680515,0.8989395333680978,0.9711857971421415
C0032617,0.9086194295978656,0.8978390244408352,0.9619706863762846
C0042769,0.9016097872115061,0.8910004082443364,0.9783496381531335
C0020557,0.928698224852071,0.9280964965571794,1.0
C0836924,0.89671709917329,0.8792606078379795,0.9629230673286656
C0042963,0.8543212200206097,0.8206684109391604,0.8946806911500215
C0015672,0.8727921072144377,0.8473289570163214,0.9774704110999933
C0011880,0.9129035623430088,0.8909441253806988,0.9196961105341848
C0020651,0.9001690182245738,0.8841316390602578,0.929413725911408
C0032227,0.8731656804733727,0.8526874347557757,1.0
C0015468,0.9349404938648092,0.9295790754693666,1.0
C0020255,0.8873754443214263,0.8835481902029126,0.9550471397646575
C0031256,0.8830175667604627,0.8764277695433444,0.9547874559950599
C0011630,0.9159121774558624,0.9113625403189655,0.9321766448087496
C0032285,0.8710630203263974,0.849430554317895,1.0
C0014130,0.9361826529536371,0.9344773363099755,1.0
C0018188,0.9265669272700692,0.9122278056952222,0.9348936976983656
C0025222,0.8604631455913507,0.8330689345149752,0.852996567657547
C0042487,0.8797246682403945,0.8563506983410111,0.9478786117603416
C0085615,0.9060057709228302,0.8826758607081652,0.910015893233411
C0004153,0.9093414576160748,0.89829696712123,0.9388151069515324
C0011168,0.897097194648627,0.8805716567146468,0.9685593140127385
C0042510,0.8699738462242466,0.8537578890275199,0.9204147113651016
C0026858,0.9058994739586629,0.8890582788971662,0.9750867540121387
C0043096,0.8766388313057034,0.8538255469617455,0.9779148555444378
C0035078,0.8645572632345118,0.8371604301139781,0.8755925715786808
C0428977,0.8631651679113955,0.8414601964199406,0.9787751700680271
C0013221,0.863451702275028,0.8364656006011899,0.9057960056052177
C0036974,0.8548243354728329,0.8286762103553932,0.8864211842576446
C0079035,0.8730893527819024,0.8509909800769593,0.8095122587604667
C0232492,0.8747314050420614,0.8508650297454539,0.94531480793338
C0013404,0.8639551640982442,0.8345566866132709,0.9176235042351852
C0018926,0.8785532006920416,0.8558584956812182,0.9370429119152789
C0010054,0.8960886382631947,0.873575300206903,0.9131092727060742
C0020541,0.900216049382716,0.8900752961077565,0.9123424716297999
C0034063,0.8719790201806699,0.8512867481686103,0.8709588658354075
C0020295,0.9080894257902075,0.8980593850323043,0.9475396798641342
C0017658,0.8734922207330575,0.874654818957342,0.9074333577091335
C0008031,0.8783566419005595,0.8513690309116296,0.9332270717374469
C0235946,0.8945921815094274,0.879700458009679,0.9599180547973373
C0020458,0.8770472381660999,0.8518622079146239,0.9760745588901876
C0344232,0.8921831460155558,0.8663660882204123,1.0
C0020565,0.9468421589633711,0.9331462907256829,0.8854142335127361
C0015230,0.8499698773824959,0.8154853223574656,0.8814786516641605
C0235527,0.8757115090934333,0.8631933586746957,0.8807627114963484
C0002170,0.8875151613845151,0.8710837073036511,0.973507077169304
C0020649,0.8566453523936259,0.8302449589020744,0.9291070466401937
C0037928,0.9303001622498649,0.9361465221722624,1.0
C0006826,0.9124710295881466,0.8916763731038031,0.922982705379666
C0242429,0.9054382731006223,0.8882305304043436,0.9755867540121388
C0341047,0.94671875,0.9350929003370874,0.9102194497981613
C0021400,0.9032208448117538,0.8878331561745834,0.9491066516942641
C0016204,0.9055023084379146,0.8908806065060217,0.9791918367346938
C0018681,0.8651586844329561,0.8340928257838702,0.9061509500218932
C0442874,0.8747740189875489,0.8492994769046978,0.9491066516942641
C0013604,0.8673640510185193,0.8328723867018019,0.9192102805746706
C0034186,0.9185183497473812,0.9107978923311082,0.9729515216137484
C0005424,0.9384956169290226,0.9309770956729582,0.9455432200537875
C0149512,0.9350007270612185,0.9268759859901158,0.9779148555444378
C0017168,0.903912662171956,0.8821669581553357,0.9203520644885249
C0152027,0.8958749001000397,0.8720249175467709,0.8471597630172392
C0005779,0.894559919455004,0.8804300233761773,0.9378430113518766
C0022104,0.9223415051006784,0.9081804484878813,0.9354736811460481
C0015967,0.8444197637846425,0.8073253027255729,0.883878403181549
C0029927,0.937860422405877,0.9301147770585441,0.9787751700680271
C0043094,0.8858898361756484,0.8630948999501296,0.9540317312908962
C0001418,0.9040757528096313,0.8816584343398779,0.8956154677583712
C0038663,0.8817680133277801,0.8720220698637022,1.0
C0022408,0.9070344475749881,0.8880115426553894,0.9438371274355382
C0152029,0.9504434291857027,0.9469814468810658,1.0
