Relation,AUROC,AUPRC,AP@50
C0035258,0.9558198454155994,0.9497495106277932,1.0
C0019360,0.9588422288516067,0.9522981770498528,0.9750867540121387
C0013473,0.951477452723877,0.9478440102302769,0.9795999999999999
C0020461,0.9321623769809328,0.9113381040415988,0.909008092879036
C0162429,0.9486583040304215,0.9344336480717472,0.9629230673286656
C0032617,0.9489473359807693,0.9487195151933021,1.0
C0042769,0.9494981359995027,0.9448045732991135,1.0
C0020557,0.9682182774490466,0.9669455261262866,1.0
C0836924,0.9488014299849978,0.9361532762955457,0.9520801067976246
C0042963,0.9350264679725767,0.9131693286609772,0.8667946729654659
C0015672,0.9462345101738585,0.9344316207570589,1.0
C0011880,0.9429976967955765,0.9267587097321778,0.9729515216137484
C0020651,0.946369082612469,0.9418949455465052,0.9750867540121387
C0032227,0.9408819719197506,0.929204471497389,1.0
C0015468,0.970604049466732,0.9663862472175154,1.0
C0020255,0.9339053668201155,0.9259549326894834,0.9443730360905538
C0031256,0.9345972205973806,0.9243131824743326,1.0
C0011630,0.9515617926663649,0.9520008519022354,0.9779148555444378
C0032285,0.9495625936518399,0.9399795392198187,1.0
C0014130,0.9651103719962809,0.9619131054015277,1.0
C0018188,0.9521515444754632,0.9372280444241611,0.9443730360905538
C0025222,0.9190883190883191,0.90192712790515,0.9770158656454478
C0042487,0.9370088837199448,0.924051795534514,0.9479796675672799
C0085615,0.9510215568552352,0.9350834025646189,0.9137303151012582
C0004153,0.9481020348862805,0.9418934595947155,0.9705607971421415
C0011168,0.9549876588878946,0.9477016924794585,0.9619706863762846
C0042510,0.9199511420716748,0.9051285161734114,0.9433116019100126
C0026858,0.9466431318987016,0.9332025592455124,1.0
C0043096,0.9434866076726577,0.9346570044990796,1.0
C0035078,0.9391766747851403,0.9239482227408429,0.8970428330759803
C0428977,0.9331680468763232,0.921253106644063,1.0
C0013221,0.931010742447653,0.915969902331081,0.9358913956651038
C0036974,0.9254860883970438,0.9084047988685362,0.92438119935586
C0079035,0.9071534631845576,0.8854744711733927,0.8231724960652137
C0232492,0.9416831124325378,0.9310093742548032,1.0
C0013404,0.9392685187151517,0.9235587681083294,0.9609706863762847
C0018926,0.9405579584775087,0.9307701765680209,0.98
C0010054,0.9530415688308778,0.9411356445297616,0.891022551353997
C0020541,0.9383333333333334,0.9324261400888678,0.9407551071381142
C0034063,0.9362330164231494,0.9163501191677383,0.8614324872731224
C0020295,0.9416406182882746,0.9353760614686393,0.9685593140127385
C0017658,0.9165549793135598,0.919457702277589,0.9729515216137484
C0008031,0.9456577533426096,0.9330898115360236,0.969915635851819
C0235946,0.9360786750932233,0.9206095705167772,0.9356825599000778
C0020458,0.9421259389172335,0.9293997257867782,1.0
C0344232,0.9484457657062495,0.9346538535355106,1.0
C0020565,0.9656157534945413,0.9563434901107867,0.9403701111548809
C0015230,0.9250375962607321,0.9029985573450509,0.9692489691851524
C0235527,0.9331412837243741,0.9204760275879309,0.9086508882365161
C0002170,0.9412692886502999,0.9340876915419275,1.0
C0020649,0.9411979174387493,0.92922023213184,0.9576304730979908
C0037928,0.9543672255273121,0.9545357491349751,1.0
C0006826,0.9457204952700449,0.9366589961329166,0.9629230673286656
C0242429,0.9429274232381818,0.932487565543316,0.9663350567884812
C0341047,0.96078125,0.9495692956653554,0.9137038190249542
C0021400,0.9554614325068871,0.9522418544060658,1.0
C0016204,0.9533736991123354,0.9455772786188086,0.9755867540121388
C0018681,0.9406675379762462,0.9244052834162214,0.9450292441122514
C0442874,0.9448215081237816,0.9343486556252363,1.0
C0013604,0.9377665073958934,0.9191008793431861,1.0
C0034186,0.9550754438628168,0.9510594857026884,1.0
C0005424,0.9680224337826373,0.9671643986228803,1.0
C0149512,0.9695976555072091,0.9661983820649425,1.0
C0017168,0.9580845941212148,0.9489996865254918,1.0
