job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.type,train.optimizer,train.loss,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,complex.entity_embedder.regularize_weight,complex.relation_embedder.regularize_weight,complex.entity_embedder.dropout,complex.relation_embedder.dropout
97a15ed6,decagon_non-naive,complex,0,search,negative_sampling,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.1134056088070579,4,2fdacd45,,,,,,,,,,,,,,
97a15ed6,decagon_non-naive,complex,0,search,negative_sampling,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.0441168680087712,6,f4b3f560,,,,,,,,,,,,,,
97a15ed6,decagon_non-naive,complex,0,search,1vsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.1198854439293084,7,0f1909e9,,,,,,,,,,,,,,
97a15ed6,decagon_non-naive,complex,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.052756236881918,9,7badd94c,,,,,,,,,,,,,,
97a15ed6,decagon_non-naive,complex,0,search,1vsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.005059543472264,11,3c33d822,512,negative_sampling,RMSprop,kl,0.0005949833389811746,10,256,uniform_,lp,True,1.9955959296259463e-09,5.143352539038308e-20,0.24138387758284807,0.29564411705359817
97a15ed6,decagon_non-naive,complex,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0263901308042748,12,015b6804,,,,,,,,,,,,,,
97a15ed6,decagon_non-naive,complex,0,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0286502797101307,15,38cc257e,128,negative_sampling,SGD,kl,0.003257959653500717,7,32,normal_,lp,False,0.007000649983634024,1.7319250566538323e-11,0.30201915884390473,0.4102332149632275
97a15ed6,decagon_non-naive,complex,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.077621133405329,16,0e1ce9a8,256,1vsAll,AdamW,kl,0.0014906031047292856,3,256,xavier_normal_,lp,True,0.005734186303919585,0.0003622192368211352,0.029065147507935762,0.2744434466585517
