Relation,AUROC,AUPRC,AP@50
C0035258,0.9805595015715708,0.9747129350395091,0.9791918367346938
C0019360,0.9753256439035917,0.9668243146763269,1.0
C0013473,0.9824686292485467,0.9799295614638264,1.0
C0020461,0.969777586313314,0.9600000072504736,1.0
C0162429,0.9733869051072216,0.9590699501824901,0.946595258312776
C0032617,0.9864223511697734,0.9848913506051448,1.0
C0042769,0.9781938422357873,0.9733115706667159,1.0
C0020557,0.9869559500328731,0.9859357546244275,1.0
C0836924,0.9724296977241533,0.9611616722456263,0.9795999999999999
C0042963,0.9633408463163641,0.9468485950502354,1.0
C0015672,0.9756300085158788,0.9680573869516311,0.9723800930423198
C0011880,0.9728109526599202,0.9649633742710877,1.0
C0020651,0.9767818650093782,0.9708365719182471,1.0
C0032227,0.9746472462448795,0.9651829582045187,1.0
C0015468,0.9872320618895907,0.9833305784462407,1.0
C0020255,0.9752345434415244,0.9689832266400209,1.0
C0031256,0.9668860715847027,0.9597015877156923,1.0
C0011630,0.9851742870076958,0.9860600706963085,1.0
C0032285,0.9736204035723041,0.962075742409605,0.9692489691851524
C0014130,0.982315559432181,0.9776709607979863,1.0
C0018188,0.973308456499189,0.9566602990675804,0.9184484969194402
C0025222,0.96409964204836,0.9502288584125227,0.932329893871404
C0042487,0.9681459485799094,0.9551126246895961,0.9750867540121387
C0085615,0.9760137932819213,0.9633084854932434,0.9323159731516009
C0004153,0.9873821201208076,0.9864476676696775,1.0
C0011168,0.9779994504329651,0.9709926723162199,1.0
C0042510,0.9667252163934542,0.9568565058306477,1.0
C0026858,0.970433902284167,0.9529718194550845,0.9783496381531335
C0043096,0.9718134752301353,0.9636569824185856,1.0
C0035078,0.9690042272052855,0.9556711971270059,0.9723800930423198
C0428977,0.9716777591491812,0.9585355418209193,0.9723800930423198
C0013221,0.9650670653737546,0.9504827545284267,1.0
C0036974,0.9732136590740254,0.9617621877974208,0.9705607971421415
C0079035,0.9624421346842519,0.9472825219309468,0.9504134401309579
C0232492,0.9708121527435457,0.9587086480621283,0.9774704110999933
C0013404,0.9704042994235502,0.9587098647899808,1.0
C0018926,0.9720242214532872,0.9629317101608754,1.0
C0010054,0.9772508092917851,0.9695720874844896,1.0
C0020541,0.9790432098765433,0.9742203636157373,0.9795999999999999
C0034063,0.9702697904987657,0.957760634236325,0.9576304730979908
C0020295,0.9738502917638663,0.9693382842844142,1.0
C0017658,0.9880543091894411,0.9846782860133125,0.9779148555444378
C0008031,0.9722125907907018,0.9611829510458992,1.0
C0235946,0.9656080950963744,0.9440698077691146,0.946595258312776
C0020458,0.9691962071286848,0.9564493932338591,0.9504134401309579
C0344232,0.9709606007070085,0.9576129764978043,0.9770158656454478
C0020565,0.9827568615447403,0.9786799800501678,0.973507077169304
C0015230,0.9609090106223172,0.9419993183698782,1.0
C0235527,0.9766648155860984,0.962239816376688,0.9152910633014385
C0002170,0.9740445520091642,0.9665154177812177,1.0
C0020649,0.9723941919882133,0.962913403163967,1.0
C0037928,0.9871890210924824,0.9864646726422649,1.0
C0006826,0.978185392599807,0.9712219647954676,1.0
