experiment,trial,AUROC,AUPRC,AP@50,dataset,model,train.batch_size,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.regularize_args.weighted,entity_embedder.regularize_weight,relation_embedder.regularize_weight,entity_embedder.dropout,relation_embedder.dropout,job_type=1vsAll,job_type=KvsAll,job_type=negative_sampling,train.type=1vsAll,train.type=KvsAll,train.type=negative_sampling,train.optimizer=Adadelta,train.optimizer=Adam,train.optimizer=AdamW,train.optimizer=Adamax,train.optimizer=RMSprop,train.loss=bce,train.loss=kl,train.loss=se,lookup_embedder.initialize=normal_,lookup_embedder.initialize=uniform_,lookup_embedder.initialize=xavier_normal_,lookup_embedder.initialize=xavier_uniform_
20230929-111630-simple_selfloops,00096,0.693846129426517,0.6719980032534825,0.5724634790675858,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,128,0.0018085588162998,6,512,0,2.380107484430662e-12,0.0118121442932928,0.1427110317163169,0.0793726947158575,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
20230929-111630-simple_selfloops,00091,0.9366144049601492,0.9189529097669746,0.917377128227938,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,256,0.0028290220393844,6,256,0,6.298348661457805e-16,0.0003645755879032,0.2540807276964187,0.11062200833112,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
20230929-111630-simple_selfloops,00065,0.9472657925591238,0.9326246018733464,0.9443730360905538,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,512,0.0093751324115532,10,128,0,9.956780632679876e-16,4.320554038593328e-05,0.1068141609430313,0.0961411618627607,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
20230929-111630-simple_selfloops,00039,0.4773808830099256,0.474285733804609,0.185208360241131,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,256,0.0076060765309365,6,32,0,3.716150017991706e-18,1.7079950931503747e-13,0.380392094142735,0.4951004115864634,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
20230929-111630-simple_selfloops,00006,0.8820296079425385,0.8562579626546671,0.8641899470680937,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,128,0.383936016146238,3,256,1,5.0822256129253513e-20,2.6363593995076824e-15,0.4152388931252062,0.1477998914197087,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
20230929-111630-simple_selfloops,00001,0.9624378243944636,0.9507944866272072,0.9609706863762848,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,512,0.0006090654789468,4,32,1,5.0270069358201795e-18,4.680829572859134e-19,0.1661879252642393,0.0359677234664559,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
20230929-111630-simple_selfloops,00008,0.9532153390514072,0.9438995054125836,0.969915635851819,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,256,0.6097148187633208,8,512,0,2.798013780306001e-11,1.3134489645092096e-08,0.4001833712682128,0.1028905152343213,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
20230929-111630-simple_selfloops,00037,0.899015572307082,0.881374664141956,0.8945630329980697,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,256,0.0133032747913277,9,64,1,1.8425860326152598e-14,2.1616218503505167e-10,0.4272166532464325,0.2548804502002895,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
20230929-111630-simple_selfloops,00030,0.9453002320135188,0.9332970448926796,0.9520801067976246,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,256,0.0050779671183766,7,256,0,1.1516749923690467e-20,1.5207191488674073e-12,0.3881519669666886,0.3607665752060711,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
20230929-111630-simple_selfloops,00064,0.9418108829312444,0.92737426947082,0.9433116019100126,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,512,0.0003342487228788,5,32,1,2.7455886645339966e-20,3.1905136759277507e-19,0.4487994033843279,0.1840509371832013,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
